review_id,section,start,end,type,which,chosen,rule,annotator_a,annotator_b
1089,title,8,16,span_only_one_annotator,b_only,size,union_keep,,
1480,review,23,45,span_only_one_annotator,a_only,included_items,union_keep,,
1480,review,23,110,span_only_one_annotator,b_only,included_items,union_keep,,
1569,desc,0,7,label_conflict,,size,prefer_more_frequent,size,quantity
1731,desc,145,207,label_conflict,,insulation,prefer_more_frequent,temperature_rating,insulation
1736,title,39,44,span_only_one_annotator,b_only,size,union_keep,,
1826,title,39,43,span_only_one_annotator,b_only,size,union_keep,,
1888,review,0,18,span_only_one_annotator,b_only,seller_description_accuracy,union_keep,,
1902,desc,50,88,span_only_one_annotator,a_only,build_quality,union_keep,,
1902,desc,62,87,span_only_one_annotator,b_only,material,union_keep,,
1902,review,0,40,span_only_one_annotator,a_only,compatibility,union_keep,,
1902,review,41,96,span_only_one_annotator,a_only,compatibility,union_keep,,
1902,review,97,210,span_only_one_annotator,a_only,size,union_keep,,
1902,review,211,286,span_only_one_annotator,a_only,stability,union_keep,,
1902,review,270,285,span_only_one_annotator,b_only,stability,union_keep,,
2025,title,38,46,span_only_one_annotator,b_only,capacity,union_keep,,
2775,review,0,2,span_only_one_annotator,b_only,overall,union_keep,,
2874,title,19,36,span_only_one_annotator,b_only,design,union_keep,,
2874,review,0,122,span_only_one_annotator,b_only,performance,union_keep,,
2874,review,260,348,span_only_one_annotator,a_only,performance,union_keep,,
2953,title,33,38,span_only_one_annotator,b_only,color,union_keep,,
2953,review,34,44,span_only_one_annotator,b_only,durability,union_keep,,
2953,review,46,69,span_only_one_annotator,a_only,durability,union_keep,,
3048,title,8,15,span_only_one_annotator,b_only,size,union_keep,,
3179,desc,360,384,span_only_one_annotator,a_only,material,union_keep,,
3179,desc,448,471,label_conflict,,material,prefer_more_frequent,portability,material
3179,desc,540,586,label_conflict,,size,prefer_more_frequent,size,portability
3179,desc,1233,1288,label_conflict,,size,prefer_more_frequent,weight,size
