review_id,asin,overall,title,description,reviewText,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5
13659,B00168ZJWY,5.0,Coleman Rest Easy Camp Pad,Get a good night's rest with the Coleman Rest Easy Camp Pad. The closed cell foam protects you from uncomfortable surfaces and helps insulate you from the cold ground.,Not bad for the price,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Sleeping Pads
5103,B0009PUTIE,5.0,Coleman Beach Shade,""" Take your own shady, private space to the beach or park with the Coleman Beach Shade. This pop-up beach tent is made with UVGuard material that offers 50+ UPF protection from the suns harmful rays and durable Polyguard material that is designed to last season after season. The extended floor can be zipped shut for privacy while changing clothes, and the dry line offers a convenient place to hang wet bathing suits and towels. Integrated storage pockets give you a secure place to put your items while you swim or sunbathe. And when it gets hot, the back window can be unzipped to let the breeze in, while the sand bag compartments can be filled as needed to anchor the beach canopy on windy days. The Coleman Beach Shade comes with ground stakes and pre-attached guy lines and can be set up in about five minutes.",This is a great tent for the beach. I can set it up by myself in <10min. I used it in the outer banks and it was fairly windy but if you dig down and really bury the sand anchors it has no issue in the wind. It packs down to nothing (the bag is a little bigger then a cling wrap box) which is great when you hauling everything to the beach.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Camping Shelters
18394,B00363WZY2,2.0,Coleman Palmetto Cool Weather Adult Sleeping Bag,"The Coleman Palmetto Sleeping Bag is a rectangular, cool weather sleeping bag made for camping temperatures between 30 and 50 degrees. Perfect for Family camping!.ThermoLock construction reduces heat loss through the zipper, keeping you warmer.ZipperGlide tailoring allows smooth zipper operation around the corners.QuickCord for easy, no tie closure.ComfortCuff surrounds your face with softness.Commercial Machine washable.",Not a good sleeping bag if you ask me. I purchased this at Walmart for about the same price as it is here and I've only used it once. After only one night a large (about 9 inches) section of the seams where it is stitched came apart. The temperature rating I would say is about right on. With the unfortunate seam opening I was able to see the filler material inside and I highly doubt it is cotton as it is described. Going to return it and look for a 100% cotton inside and out. For the life of me I don't know why anyone would want that sticky poly material against their skin in any way inside or out. It feels really gross. Spend a bit more and get a better bag.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Sleeping Bags
21573,B006GJ8Q7S,1.0,"Coleman 8-Person Instant Tent Rainfly Accessory,Brown/Black","Get better airflow in your Coleman Instant Tent with the Coleman Instant Tent Rainfly Accessory. Our tents are so well sealed and protected from the rain, campers sometimes lose some airflow when it starts to pour. This rainfly for the 14 x 8 ft. 8-Person Coleman Instant Tent not only gives you added protection from the weather, but it also allows you to crack your windows during a storm and still stay dry. ONLY FITS AMAZON ASIN: B004E4IAPU Coleman SKU: 2000018018 <div class=""aplus""> <h4>Coleman Instant Tent Buying Guide</h4> <head> <meta content=""text/html; charset=ISO-8859-1"" http-equiv=""Content-Type""> <title></title> </head> <body> <div class=""singlecolumnminwidth"" id=""divsinglecolumnminwidth""> <div> <div id=""product-description_feature_div""> <div class=""bucket"" id=""productDescription""> <div class=""content""> <div class=""productDescriptionWrapper""> <div class=""productDescriptionWrapper""> <div class=""aplus""> <div> <table style=""height: 525px;"" align=""center"" border=""0"" width=""900""> <tbody> <tr> <th></th> <th style=""text-align: center;""><a href=""http://www.amazon.com/dp/B004E4AVY8""><strong>Coleman 4-Person Instant Tent</strong></th> <th style=""text-align: center;""><a href=""http://www.amazon.com/dp/B004E4ERHA""><strong>Coleman 6-Person Instant Tent</strong></th> <th style=""text-align: center;""><a href=""http://www.amazon.com/dp/B004E4IAPU""><strong>Coleman 14x8 Foot 8-Person Instant Tent </strong></th> <th style=""text-align: center;""><a href=""http://www.amazon.com/dp/B003QUT9OE""><strong>Coleman 14x10 Foot 8-Person Instant Tent </strong></th> </tr> <tr> <td>Footprint</td> <td style=""text-align: center;"">8' x 7'</td> <td style=""text-align: center;"">10' x 9'</td> <td style=""text-align: center;"">14' x 8'</td> <td style=""text-align: center;"">14' x 10'</td> </tr> <tr> <td>Center Height</td> <td style=""text-align: center;"">4' 11""</td> <td style=""text-align: center;"">5' 11""</td> <td style=""text-align: center;"">6' 4""</td> <td style=""text-align: center;"">6' 5""</td> </tr> <tr> <td>Doors</td> <td style=""text-align: center;"">1</td> <td style=""text-align: center;"">1</td> <td style=""text-align: center;"">1</td> <td style=""text-align: center;"">2</td> </tr> <tr> <td>Sleeps</td> <td style=""text-align: center;"">4</td> <td style=""text-align: center;"">6</td> <td style=""text-align: center;"">8</td> <td style=""text-align: center;"">8</td> </tr> <tr> <td>Inner Tent</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> </tr> <tr> <td></td> <td style=""text-align: center;"">Polyester Mesh 68D</td> <td style=""text-align: center;"">Polyester Mesh 68D</td> <td style=""text-align: center;"">Polyester Mesh 68D</td> <td style=""text-align: center;"">Polyester Mesh 68D</td> </tr> <tr> <td>Floor</td> <td style=""text-align: center;"">Polythylene 1000D</td> <td style=""text-align: center;"">Polythylene 1000D</td> <td style=""text-align: center;"">Polythylene 1000D</td> <td style=""text-align: center;"">Polythylene 1000D</td> </tr> <tr> <td>Poles</td> <td style=""text-align: center;"">16-mm and 20-mm steel</td> <td style=""text-align: center;"">16-mm and 20-mm steel</td> <td style=""text-align: center;"">16-mm, 20-mm and 22-mm steel</td> <td style=""text-align: center;"">16-mm, 20-mm and 22-mm steel</td> </tr> <tr> <td>Rainfly</td> <td style=""text-align: center;""><a href=""http://www.amazon.com/dp/B006GJ8NX0""><strong>Rainfly for Coleman 4-Person Instant Tent</strong></td> <td style=""text-align: center;""><a href=""http://www.amazon.com/dp/B006GJ8PFG""><strong>Rainfly for Coleman 6-Person Instant Tent</strong></td> <td style=""text-align: center;""><a href=""http://www.amazon.com/dp/B006GJ8Q7S""><strong>Rainfly for Coleman 14X8 Foot 8-Person Instant Tent</strong></td> <td style=""text-align: center;""><strong>Coming Soon</strong></td> </tr> <tr> <td>Flysheet Material</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> <td style=""text-align: center;"">Polyster Taffeta 150D</td> </tr> </tbody> </table> <br> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </body> </div class=""aplus"">","I ordered the wrong one, My 8 person tent is 14x10. My fault did not read the description closely enough.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tent Accessories
14682,B0016HMBN0,4.0,Coleman Hooligan Backpacking Tent,"The Hooligan 2 from Coleman is a 2 person backpacking tent. It features a full coverage coated polyester fly (450mm) that envelops the tent in a cocoon of protection from the harshest weather. A small front vestibule offers some storage space for extra gear and the all mesh body is great for ventilation and stargazing on nights when the weather is clear. The fly seams are sealed at the factory and the rugged 1000D polyethylene floor is a bathtub style (wraps up the sides) for extreme weather protection and has welded seams, even in the corners, to guard against leaks. Set up is with a single pole and thus could not be more simple and quick. Great for beginner backpackers, scouts and those who want to keep it simple.Non Freestanding (1 pole) design is simple to set up and take down.All mesh body for maximum ventilation and comfort and reduces condensation.Zippered back vent in the fly helps to keep the tent comfortable - adjustable through zipper on the back tent wall.Sturdy 11mm (1ea) Shockcorded fiberglass frame for easy set up.All mesh body is perfect for stargazing on nice nights.Full coverage fly is perfect for harsh weather.1 Small storage vestibule - 6 sq. ft. - good for boots etc..1 interior storage pocket.Easy convenient continuous pole sleeve construction.Pin and ring pole to body connection is fast and simple.External guy points to keep the tent stable in storms and high winds.Instructions sewn to carry bag so they are easy to find and hard to lose.All carry sacks and stakes included.Includes convenient flashlight loop on the ceiling.Fire retardant.Import..","Nice tent. Survived it's first few nights in spite of some pretty heavy rain. The vestibule is much smaller that it appears in the picture. The picture in my opinion shows the vestibule to be almost the same footprint as the tent, which would have been nice.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tents
8991,B000JFTDPE,4.0,"Coleman Camper&rsquo;s Toilet Paper, 3 Rolls","Take an everyday hygiene necessity on camping trips with Coleman Campers Toilet Paper. Includes 3 rolls of biodegradable, septic-safe 2-ply toilet paper that easily fits in any camping backpack. Each roll contains at least 65 squares of premium tissue and comes in a case that also doubles as a dispenser for added convenience. Compact and convenient, Coleman Campers Toilet Paper lets you take an essential indoor comfort wherever the trail leads.",every one poops. even when your camping.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Personal Care,Hygiene & Sanitation
30244,B0009PUTFM,5.0,Coleman 15&quot; Bow Saw,Bow Saw by Coleman Specifications: - Size: 15 inches - PVC padded handle - Sheath for blade - By Coleman.,meet expectations,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Knives & Tools,Saws
21292,B005G0XFEM,5.0,Coleman Outdoor Compact Table,"The Coleman Compact Aluminum Table is the perfect camping and outdoor cooking companion. Hot pots and pans will not damage the aluminum slat top. Accordion style steel frame is sturdy and easy to set up.Table height 27.5"".Table Weight 9 lbs. 8 oz..Folded Size: 5.5"" x 5.5"" x 27.5""..Weight capacity 100 lbs..Includes storage bag with carry strap.Directions conveniently sewn on to carry bag..Color: Silver.Import..",Bought this as the main table in our studio apartment. It is a perfect height. Not too big. Packs down easily. Now we have a table for camping whenever we need it.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camping Furniture,Tables
20045,B004E4AVY8,4.0,Coleman Cabin Tent with Instant Setup | Cabin Tent for Camping Sets Up in 60 Seconds,"The Coleman Instant Cabin makes getting camp set up quicker and easier than ever. This instant tent has pre-attached poles that make setting up camp as simple as unfolding, extending, and securing. You can assemble the tent in about a minute and then get started on your adventure. This camping tent is designed with the WeatherTec system that features patented welded floors and inverted seams to help ensure you stay dry if it starts to rain. An integrated vented rainfly offers added protection from the rain and improves airflow without the need for extra assembly. This backpacking tent is made from rugged Polyguard 2X double-thick fabric that stands up to the rigors of the outdoors, so you can use it reliably season after season. This 6-person tent offers enough room for two queen size air beds and comes with integrated storage pockets to help you keep small items organized. And when its time to go home, the camping tent packs away securely in the included expandable carry bag that lets you tear away the rip strip for easy packing.","I live in ""Tornado Alley"" in the Midwest, Kansas City area. If you don't know, we get some of the worst possible thunderstorms here that you could possibly imagine. 80+ mph winds, torrential downpours, low and VERY LOUD thunder and lightening. It feels like the roof of your house is going to blow off, as it creaks and moans the entire night during the storm.

We had one of these storms this past weekend, and I was camping in it with two of my little girls. And of course, I had my Coleman Instant Tent on it's maiden voyage. I knew we'd have bad weather, so I set a heavy duty tarp under the tent, partially to keep the water away from the tent, but also to protect the tent floor from wear. It was a typical hot and sticky midwest summer evening. Then about 2 AM, the winds came howling in at gale forces of 50 mph (according to the weather service), followed by EXTREMELY loud and heavy rain and thunder. The wind was blowing so crazily that it was hitting the tent from every different direction. Not one square inch of the tent exterior had any chance of staying dry. The rain and thunder continued for the next 5 or so hours with continued moments of VERY heavy rain and winds.

I am very pleased to say that we stayed totally dry and the tent incurred no damage from the storm. The also brand new tent (of a different Coleman model) of my friend who was next to us caved in on him and his kids at some point during the night (although he did stay dry). This Instant Tent turned out to be a great investment.

PROS
1) Easy setup... almost too easy. ;)

2) This tent weathers the storm!!! Remember, there is no fly on this tent, which is a great convenience for setup. But Coleman makes up for it with it's great seams and stronger material on this tent.

3) Very spacious with lots of head room.

4) Strong, well stitched material.

5) I like to take my tents home and put them up again so they will fully air dry before putting them away. The setup of this tent is so easy that it makes this very convenient.

6) It's much harder to lose parts on a tent that is already put together.

CONS
1) I've been involved in the Boy Scout program for decades and I've used my share of tents. This tent is sturdy, however, I can see how certain facets of the construction might not last through heavy regular use. For example the extension of the poles causes some wear on the painted surface which could cause rust. Certain critical parts of the poles and pop-up mechanism are plastic which I could see being points of failure after usage in several heavy storms or really cold weather. I can even see kids not caring for the mechanism as they should during setup and take down. However, don't let this deter you from this tent. The tent needs to be made of lighter parts in order to provide the convenience that makes this tent attractive. However, if you are planning on using this as your primary tent and/or use it quite often, keep this in mind. In my particular case, I have several tents, but wanted one that was spacious and easy to setup for quick overnight trips... This tent is perfect.

2) The bag that holds this thing is HUGE. I figure it's about twice the size (lengthwise) of a regular equivalent sized tent. This is expected because of the heavier material and the way the poles need to be constructed for the pop-up mechanism to work. This isn't a terrible thing, just don't expect it to be a small bag.

I would buy this tent again.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tents
22729,B006HFBQ0K,3.0,Coleman 16-Can Soft Cooler with Removable Liner,"The Coleman 16-Can Soft Cooler goes with you to picnics, BBQs, camping, sporting events, tailgates and beyond. It holds 16 cans inside, and features plenty of extra storage space in its front zippered pocket, side mesh pockets, and mesh pocket in the lid. There are even bungees on the lid for stowing more extras! Sporting an adjustable shoulder strap, the cooler is soft on the outside for comfortable carrying, and has a hard plastic liner inside to protect your food from being crushed. The liner material is FDA approved for food contact, and is removable for easy cleaning. The Soft Cooler provides antimicrobial protection, to resist odors, mold, and mildew.","I really like this bag except for one problem, it really is a pain to carry. I didn't think about the strap and not having a handle. It is very awkward trying to carry it, if this had a handle on the top (the way men would carry it) this would be five stars. I don't want to wear it as a purse and the strap is too long and wide to use as a carry handle. I end up carrying it by the bungee straps and it bounces the whole time. One more thing about this that bugs me is the zipper, why do they build this so the top section lining sticks out when unzipped, I have to shove it back in when trying to rezip it closed. Besides those issues I really do like it, I love the size, it can fit everything I need with no problem.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
